DATE_TIME,DC_POWER,AMBIENT_TEMPERATURE
2020-05-15 00:00:00,0.0,27.004763700000005
2020-05-15 00:15:00,0.0,26.88081143333333
2020-05-15 00:30:00,0.0,26.68205534482759
2020-05-15 00:45:00,0.0,26.500588900000004
2020-05-15 01:00:00,0.0,26.596148
2020-05-15 01:15:00,0.0,26.51274003333333
2020-05-15 01:30:00,0.0,26.494338966666664
2020-05-15 01:45:00,0.0,26.420410206896552
2020-05-15 02:00:00,0.0,26.40194613333333
2020-05-15 02:15:00,0.0,26.226078206896553
2020-05-15 02:30:00,0.0,26.2603992
2020-05-15 02:45:00,0.0,26.297826099999998
2020-05-15 03:00:00,0.0,26.32824910344827
2020-05-15 03:15:00,0.0,26.158709733333332
2020-05-15 03:30:00,0.0,26.07849933333333
2020-05-15 03:45:00,0.0,26.00130396551724
2020-05-15 04:00:00,0.0,25.6972106
2020-05-15 04:15:00,0.0,25.627702413793106
2020-05-15 04:30:00,0.0,25.482045785714284
2020-05-15 04:45:00,0.0,25.230931689655172
2020-05-15 05:00:00,0.0,25.1175986
2020-05-15 05:15:00,0.0,25.0918621
2020-05-15 05:30:00,0.0,24.916967827586213
2020-05-15 05:45:00,0.0,24.741273799999995
2020-05-15 06:00:00,331.9933333333332,24.74278656666667
2020-05-15 06:15:00,587.1795238095237,24.763910896551717
2020-05-15 06:30:00,1284.2057142857145,24.7863229
2020-05-15 06:45:00,3450.897142857143,25.04824510344827
2020-05-15 07:00:00,6733.253333333332,25.6732025
2020-05-15 07:15:00,8379.639999999998,26.076818
2020-05-15 07:30:00,10109.332380952379,26.424239066666665
2020-05-15 07:45:00,12052.231428571431,27.120287517241373
2020-05-15 08:00:00,12379.565238095236,27.67897026666667
2020-05-15 08:15:00,14071.28,27.95349233333333
2020-05-15 08:30:00,16053.013333333334,28.52621465517241
2020-05-15 08:45:00,17777.12857142857,29.31902146666665
2020-05-15 09:00:00,18697.333333333336,29.572043620689648
2020-05-15 09:15:00,20195.25380952381,30.09140723333333
2020-05-15 09:30:00,19997.38666666667,30.638658379310346
2020-05-15 09:45:00,19059.164285714283,31.37512003333333
2020-05-15 10:00:00,18570.72047619048,31.89209383333333
2020-05-15 10:15:00,17465.253333333334,32.43747986206897
2020-05-15 10:30:00,18074.0,33.07413526666666
2020-05-15 10:45:00,18684.176666666666,33.19247010344828
2020-05-15 11:00:00,17977.836666666666,33.462056666666676
2020-05-15 11:15:00,17757.355238095242,34.2517951724138
2020-05-15 11:30:00,18009.660000000003,34.651454666666666
2020-05-15 11:45:00,17059.7,35.15152596551724
2020-05-15 12:00:00,16969.051904761905,35.16610503333333
2020-05-15 12:15:00,18008.725714285716,36.37757096551724
2020-05-15 12:30:00,17661.64857142857,35.96635756666666
2020-05-15 12:45:00,17586.326666666664,35.99294649999999
2020-05-15 13:00:00,17838.13333333334,36.45858144827585
2020-05-15 13:15:00,17768.745714285717,36.939564066666655
2020-05-15 13:30:00,18686.08761904762,36.890793448275865
2020-05-15 13:45:00,17746.318571428572,36.61437806666667
2020-05-15 14:00:00,18242.933333333334,36.84276606896551
2020-05-15 14:15:00,18774.32,37.3528292
2020-05-15 14:30:00,17019.533809523808,37.268465866666666
2020-05-15 14:45:00,18272.444285714286,37.216598344827574
2020-05-15 15:00:00,20077.71952380953,37.115580266666655
2020-05-15 15:15:00,19133.233333333326,37.08661827586207
2020-05-15 15:30:00,14042.306666666667,36.62616283333333
2020-05-15 15:45:00,15855.710000000005,36.75573503333335
2020-05-15 16:00:00,14186.605714285713,36.75465755172415
2020-05-15 16:15:00,10408.01857142857,36.599552466666665
2020-05-15 16:30:00,9310.133333333333,36.257382233333345
2020-05-15 16:45:00,9733.8,36.28795296551724
2020-05-15 17:00:00,6389.254285714287,36.002836966666656
2020-05-15 17:15:00,4269.2495238095225,35.6273375862069
2020-05-15 17:30:00,2091.046666666667,35.20957449999999
2020-05-15 17:45:00,847.7733333333334,34.73165155172415
2020-05-15 18:00:00,545.24,34.36776166666667
2020-05-15 18:15:00,333.9780952380953,33.98528399999999
2020-05-15 18:30:00,51.73190476190476,33.54584963333333
2020-05-15 18:45:00,0.0,33.09357417241378
2020-05-15 19:00:00,0.0,32.57998866666667
2020-05-15 19:15:00,0.0,32.106470551724136
2020-05-15 19:30:00,0.0,31.78520906666667
2020-05-15 19:45:00,0.0,31.50534475862069
2020-05-15 20:00:00,0.0,31.4473155
2020-05-15 20:15:00,0.0,30.79767863333333
2020-05-15 20:30:00,0.0,30.550728793103445
2020-05-15 20:45:00,0.0,31.04741058620689
2020-05-15 21:00:00,0.0,30.0076782
2020-05-15 21:15:00,0.0,28.97958373333333
2020-05-15 21:30:00,0.0,28.4271094137931
2020-05-15 21:45:00,0.0,28.300552466666666
2020-05-15 22:00:00,0.0,28.329858172413783
2020-05-15 22:15:00,0.0,28.324165
2020-05-15 22:30:00,0.0,28.22888173333333
2020-05-15 22:45:00,0.0,28.14552675862069
2020-05-15 23:00:00,0.0,27.70949446428571
2020-05-15 23:30:00,0.0,26.951768444444447
2020-05-15 23:45:00,0.0,26.75583189655173
2020-05-16 00:00:00,0.0,26.52780646666667
2020-05-16 00:15:00,0.0,26.68731262068965
2020-05-16 00:30:00,0.0,26.63302783333333
2020-05-16 00:45:00,0.0,26.67657573333333
2020-05-16 01:00:00,0.0,26.440455931034478
2020-05-16 01:15:00,0.0,26.193042000000002
2020-05-16 01:30:00,0.0,26.003380103448272
2020-05-16 01:45:00,0.0,25.95458273333333
2020-05-16 02:00:00,0.0,25.73270810344827
